Eigen_Calls		 samp4			  samp16		   samp64
0.000000000000000000e+00 3.438933623718703342e-03 3.714338087780658364e-03 3.655986213581481886e-03
1.000000000000000000e+01 3.202222359559878627e-03 3.521990825200931909e-03 3.644978926612201572e-03
2.000000000000000000e+01 3.401744891737643311e-03 3.133482074912584750e-03 3.399448346459043105e-03
3.000000000000000000e+01 3.466535676800576709e-03 3.837017485867066924e-03 3.519682163681346794e-03
4.000000000000000000e+01 3.058664190934201610e-03 3.464360199867493745e-03 3.524737101238334998e-03
5.000000000000000000e+01 3.462441606350870251e-03 3.274980913083936837e-03 3.493622424493483380e-03
6.000000000000000000e+01 2.997933675679738657e-03 3.257331506503284655e-03 3.013720303709188555e-03
7.000000000000000000e+01 2.434338428341731742e-03 2.636277156516474499e-03 3.329472122558356246e-03
8.000000000000000000e+01 2.801068398757671288e-03 2.831419526845802177e-03 2.962138698325166367e-03
9.000000000000000000e+01 3.436646561091416616e-03 2.976629272790351673e-03 3.222472052091472725e-03
1.000000000000000000e+02 3.493554970501867515e-03 3.180412540311991845e-03 2.993590290668317940e-03
1.100000000000000000e+02 2.624673543804007143e-03 2.976332029715423200e-03 2.855100018468468247e-03
1.200000000000000000e+02 2.834712678425337258e-03 2.254443076168390677e-03 2.788784018351786985e-03
1.300000000000000000e+02 2.681575248222989750e-03 2.567130664810928029e-03 2.757579680843172225e-03
1.400000000000000000e+02 3.324976023525405468e-03 2.911359124448965538e-03 2.696441802591963751e-03
1.500000000000000000e+02 2.627679294978275265e-03 2.685153281113876553e-03 2.540908979161599600e-03
1.600000000000000000e+02 2.254902678377716883e-03 2.537081785763795234e-03 2.737719178172628130e-03
1.700000000000000000e+02 2.242256362012590674e-03 2.503625518328793723e-03 2.617995920980643876e-03
1.800000000000000000e+02 2.153161103930749214e-03 2.528284636371911330e-03 2.416152874270143230e-03
1.900000000000000000e+02 2.430284407035277882e-03 3.039555880585484947e-03 2.953870127936612192e-03
2.000000000000000000e+02 1.848143443805315639e-03 2.206259970585604420e-03 2.476214731714427783e-03
2.100000000000000000e+02 2.096056509983788927e-03 2.105088437449187302e-03 2.152880056834630997e-03
2.200000000000000000e+02 2.632983609150652427e-03 2.330025745533351959e-03 2.186831638136738521e-03
2.300000000000000000e+02 2.323036971710628305e-03 2.370410344428183335e-03 2.509340242189244015e-03
2.400000000000000000e+02 2.084530127016220261e-03 2.378126718731914200e-03 2.226695476718437618e-03
2.500000000000000000e+02 1.781297611370387304e-03 1.685126668989415846e-03 2.147310536764870763e-03
2.600000000000000000e+02 2.793180360747759064e-03 2.223250817243071359e-03 2.049856106495142639e-03
2.700000000000000000e+02 2.409462504452714211e-03 1.934294690890795126e-03 1.931793282270094459e-03
2.800000000000000000e+02 1.997735642664988549e-03 2.105536054817644647e-03 1.992880091901388234e-03
2.900000000000000000e+02 2.278457300562641841e-03 2.389313530684965270e-03 1.955303699987819260e-03
3.000000000000000000e+02 1.689701853888630209e-03 2.151885859244764398e-03 2.300639254521296122e-03
3.100000000000000000e+02 2.018693619819914801e-03 2.083591831784199332e-03 2.303040468304958736e-03
3.200000000000000000e+02 1.753733458677929130e-03 1.792937076107386975e-03 1.953553928713617528e-03
